Country Code,Change,Description of Change,Date Issued,Source
BA,Deletion of all cantons BA-01 to BA-10.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BA.
BA,Correct typographic error for the language code for Croatian.,,2010-12-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BA.
BA,Subdivisions added: BA-BRC Brčko Distrikt.,"Addition of the country code prefix as the first code element, addition of names in administrative languages, update of the administrative structure and of the list source.",2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
BA,Subdivisions added: 10 cantons.,Second edition of ISO 3166-2 (this change was not announced in a newsletter) - 'Statoid Newsletter January 2008' - http://www.statoids.com/n0801.html.,2007-12-13,ISO 3166-2:2007 - http://www.iso.org/iso/iso_catalogue/catalogue_tc/catalogue_detail.htm?csnumber=39718.
BB,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BB.
BB,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BB.
BB,Subdivisions added: 11 parishes.,Addition of the administrative subdivisions and of their code elements.,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20081218103230/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
BD,Subdivisions added: BD-F Rangpur (division). Codes: Barisal (division): BD-1 -> BD-A Chittagong (division): BD-2 -> BD-B Dhaka (division): BD-3 -> BD-C Khulna (division): BD-4 -> BD-D Rajshahi (division): BD-5 -> BD-E Sylhet (division): BD-6 -> BD-G.,"Country name romanization adjustment, first level prefix addition, deletion of generic terms, addition of administrative division and source list update.",2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
BD,Subdivisions added: BD-6 Sylhet bibhag. Subdivisions deleted: 21 regions .,New list source. One division added. 31 regions cancelled. Allocation of districts to divisions instead of regions. Correction of one spelling error.,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20081218103157/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
BD,Correct local short name and align with ISO 3166-2.,,2012-02-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BD.
BD,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BD.
